SiO2,Al2O3,B2O3,MgO,CaO,SrO,Sb2O3,YoungModulus,Density293K,CTEbelowTg,Tstrain,Tsoft
0.6809,0.1251,0.0455,0.047,0.0625,0.039,0.0,81.8,2.521,35e-07,986.15,1269.15
0.6738,0.1252,0.0519,0.0522,0.0614,0.0346,0.0009,81.6,2.510,35.1e-07,981.15,1264.15
0.6722,0.1256,0.0531,0.0462,0.0649,0.0371,0.0009,81.1,2.512,35.7e-07,977.15,1261.15
0.6750,0.1262,0.0582,0.0403,0.0631,0.0363,0.0009,79.8,2.501,34.1e-07,975.15,1268.15
0.6855,0.1172,0.0544,0.0343,0.0645,0.0433,0.0008,79.1,2.506,37.7e-07,978.15,1267.15
0.6936,0.1217,0.0537,0.0318,0.0590,0.0394,0.0008,79.0,2.494,33.5e-07,987.15,1280.15
0.6866,0.1180,0.0567,0.0334,0.0627,0.0418,0.0008,78.9,2.501,38.2e-07,979.15,1268.15
0.6617,0.1224,0.0544,0.0527,0.0705,0.0376,0.0007,81.385,2.5254,37.2e-07,966.15,1245.65
0.6701,0.1243,0.0544,0.0432,0.0700,0.0373,0.0007,81.385,2.5125,36.4e-07,972.15,1257.45
0.6655,0.1240,0.0544,0.0550,0.0604,0.0400,0.0007,81.385,2.5208,35.7e-07,981.15,1254.05
0.6645,0.1252,0.0543,0.0505,0.0728,0.0320,0.0007,81.385,2.5108,35.6e-07,980.15,1254.85
0.6653,0.1243,0.0544,0.0550,0.0660,0.0343,0.0007,81.385,2.514,35.9e-07,983.15,1256.25
0.6648,0.1244,0.0547,0.0665,0.0580,0.0309,0.0007,81.385,2.5051,34.6e-07,984.15,1251.05
0.6634,0.1243,0.0561,0.0502,0.0688,0.0365,0.0007,81.385,2.517,36.1e-07,978.15,1251.25
0.6658,0.1238,0.0544,0.0552,0.0710,0.0291,0.0007,82.05451,2.5038,32.4e-07,974.15,1252.55
0.6654,0.1247,0.0537,0.0640,0.0650,0.0265,0.0007,82.05451,2.499,34.8e-07,977.15,1255.05
0.6653,0.1261,0.0542,0.0486,0.0746,0.0305,0.0007,82.05451,2.508,35.2e-07,975.15,1257.25
0.6648,0.1276,0.0559,0.0461,0.0745,0.0304,0.0007,82.05451,2.507,35.6e-07,978.15,1259.75
0.6679,0.1254,0.0530,0.0490,0.0753,0.0287,0.0007,82.05451,2.505,36.2e-07,977.15,1257.35
0.6660,0.1263,0.0547,0.0494,0.0783,0.0246,0.0007,82.05451,2.4952,36.2e-07,976.15,1259.55
0.6688,0.1269,0.0555,0.0483,0.0812,0.0186,0.0007,82.05451,2.471,34.7e-07,978.15,1261.45
0.6755,0.1222,0.0586,0.0421,0.0656,0.0353,0.0007,79.78613,2.498744,34.5e-07,974.15,1258.65
0.6746,0.1225,0.0588,0.0423,0.0657,0.0354,0.0007,80.24119,2.501356,34.6e-07,973.15,1259.45
0.6750,0.1262,0.0582,0.0403,0.0631,0.0363,0.0009,79.77924,2.500631,34.1e-07,975.15,1267.95
0.6736,0.1256,0.0568,0.0430,0.0636,0.0365,0.0009,80.3584,2.506029,34.7e-07,979.15,1261.55
0.6722,0.1256,0.0531,0.0462,0.0649,0.0371,0.0009,81.1375,2.512237,35.7e-07,977.15,1260.85
0.6714,0.1235,0.0551,0.0501,0.0642,0.0350,0.0007,81.0134,2.508,35.1e-07,972.15,1255.25
0.6741,0.1217,0.0689,0.0430,0.0791,0.0124,0.0008,79.2966,2.448,33.2e-07,971.15,1254.95
0.6644,0.1256,0.0699,0.0445,0.0818,0.0130,0.0008,79.90334,2.457,33.7e-07,970.15,1252.25
0.6674,0.1243,0.0641,0.0434,0.0635,0.0364,0.0009,79.22076,2.502,34.9e-07,975.15,1256.65
0.6711,0.1247,0.0600,0.0432,0.0636,0.0365,0.0009,80.84792,2.505,35.1e-07,977.15,1259.65
0.6738,0.1257,0.0549,0.0436,0.0643,0.0368,0.0009,81.21335,2.507,34.9e-07,983.15,1264.65
0.6773,0.1270,0.0500,0.0442,0.0638,0.0367,0.0010,82.11656,2.514,35.2e-07,987.15,1273.65
0.6817,0.1272,0.0450,0.0438,0.0644,0.0370,0.0009,81.77182,2.517,34.7e-07,993.15,1278.75
0.6836,0.1278,0.0408,0.0446,0.0650,0.0373,0.0009,81.38572,2.521,35.4e-07,998.15,1281.85
0.6870,0.1290,0.0350,0.0447,0.0656,0.0378,0.0009,83.13698,2.528,34.9e-07,1003.15,1287.15
0.6913,0.1293,0.0302,0.0449,0.0657,0.0377,0.0009,83.39898,2.529,35.0e-07,1008.15,1295.65
0.6907,0.1202,0.0478,0.0452,0.0560,0.0387,0.0014,80.80656,2.502,34.0e-07,984.15,1279.85
0.6932,0.1195,0.0396,0.0343,0.0740,0.0383,0.0011,81.15819,2.515,35.9e-07,992.15,1283.95
0.6712,0.1252,0.0535,0.0535,0.0588,0.0369,0.0009,81.09614,2.512,34.6e-07,979.15,1259.15
0.6729,0.1249,0.0527,0.0440,0.0677,0.0369,0.0009,80.91687,2.515,35.6e-07,982.15,1264.75
0.6608,0.1275,0.0535,0.0549,0.0687,0.0337,0.0009,81.86835,2.521,35.6e-07,977.15,1254.25
0.6809,0.1223,0.0516,0.0419,0.0632,0.0392,0.0009,80.66866,2.512,35.5e-07,982.15,1266.45
0.6730,0.1246,0.0525,0.0465,0.0694,0.0331,0.0009,81.61324,2.508,35.4e-07,980.15,1261.95
0.6727,0.1252,0.0520,0.0472,0.0619,0.0401,0.0009,81.05477,2.519,35.2e-07,981.15,1265.25
0.6738,0.1252,0.0519,0.0522,0.0614,0.0346,0.0009,81.63393,2.51,35.1e-07,981.15,1264.15
0.6734,0.1251,0.0523,0.0444,0.0657,0.0382,0.0009,80.73071,2.517,35.8e-07,980.15,1263.25
0.6724,0.1250,0.0521,0.0446,0.0697,0.0353,0.0009,81.08924,2.512,34.6e-07,980.15,1263.35
0.6746,0.1253,0.0505,0.0485,0.0615,0.0387,0.0009,81.39261,2.518,34.6e-07,980.15,1262.75
0.6723,0.1252,0.0526,0.0453,0.0617,0.0420,0.0009,80.77208,2.523,35.5e-07,980.15,1263.85




